algoritmo,grafo,cant_vertice,cant_arista,media,desv,mediana
make_max_clique_graph,1NoDirigido.csv,520,2237,3.157521867,0.403403377,2.91791
make_max_clique_graph,2NoDirigido.csv,400,1241,1.036115067,0.100786389,1.009676
make_max_clique_graph,3NoDirigido.csv,350,1953,2.0031158,0.013562622,2.0030225
make_max_clique_graph,4NoDirigido.csv,749,2767,4.7696251,0.019993545,4.767056
make_max_clique_graph,5NoDirigido.csv,709,2567,4.095349833,0.014539343,4.09093
betweenness_centrality,1NoDirigido.csv,520,2237,5.351212967,0.053537973,35.347819
betweenness_centrality,2NoDirigido.csv,400,1241,2.541851433,0.388838413,18.430468
betweenness_centrality,3NoDirigido.csv,350,1953,4.372756733,0.352819611,17.4258635
betweenness_centrality,4NoDirigido.csv,749,2767,3.342153833,2.148997304,71.54307
betweenness_centrality,5NoDirigido.csv,709,2567,6.804748533,1.198821874,63.5381095
greedy_color,1NoDirigido.csv,520,2237,1.756877867,0.059674124,1.735467
greedy_color,2NoDirigido.csv,400,1241,1.225944033,0.014504408,1.221978
greedy_color,3NoDirigido.csv,350,1953,1.233285933,0.023122104,1.2267005
greedy_color,4NoDirigido.csv,749,2767,2.4258301,0.03358238,2.4108435
greedy_color,5NoDirigido.csv,709,2567,2.3123151,0.049198563,2.2914405
Maximal_matching,1NoDirigido.csv,520,2237,0.596808667,0.012225853,0.594274
Maximal_matching,2NoDirigido.csv,400,1241,0.3617934,0.005233344,0.362798
Maximal_matching,3NoDirigido.csv,350,1953,0.486905267,0.02086455,0.480741
Maximal_matching,4NoDirigido.csv,749,2767,0.828997633,0.025922319,0.822015
Maximal_matching,5NoDirigido.csv,709,2567,0.744975867,0.013111748,0.7421285
dfs_tree,1NoDirigido.csv,520,2237,3.0903509,0.03345001,3.0781145
dfs_tree,2NoDirigido.csv,400,1241,2.416338667,0.382185748,2.273693
dfs_tree,3NoDirigido.csv,350,1953,2.102349733,0.10236264,2.0640855
dfs_tree,4NoDirigido.csv,749,2767,4.181249867,0.106324757,4.1548485
dfs_tree,5NoDirigido.csv,709,2567,4.1349463,0.038263365,4.137926
