group1,group2,meandiff,lower,upper,reject
1024,2048,0.97,0.9606,0.9794,True
1024,256,-0.6445,-0.6539,-0.6352,True
1024,512,-0.4689,-0.4782,-0.4595,True
2048,256,-1.6146,-1.624,-1.6052,True
2048,512,-1.4389,-1.4483,-1.4295,True
256,512,0.1757,0.1663,0.1851,True
