group1,group2,meandiff,lower,upper,reject
maximum_flow,preflow_push,-0.0361,-0.1213,0.0491,False
maximum_flow,shortest_augmenting_path,-0.0707,-0.1559,0.0145,False
preflow_push,shortest_augmenting_path,-0.0346,-0.1198,0.0506,False
